name,budget,mood,cuisine,mealtime,rating
Oven & Fried Chicken,25,comfort,"Korean, Chicken","Lunch, Dinner",3
O Chicken & Beer,25,comfort,"Korean, Chicken","Lunch, Dinner",4
Kko Kko Nara,20,comfort,"Korean, Chicken","Lunch, Dinner",4
Ah Tan Wings,10,comfort,"Chinese, Chicken","Lunch, Dinner",3
Chir Chir,20,comfort,"Korean, Chicken","Lunch, Dinner",3
Twins Korean Restaurant,25,comfort,"Korean, Chicken","Lunch, Dinner",4
Waker Chicken,15,comfort,"Korean, Chicken","Lunch, Dinner",4
Chix Hot Chicken,10,casual,"Western, Chicken","Lunch, Dinner",5
Victor Famous Fried Chicken Wing Rice,10,casual,"Chinese, Chicken","Lunch, Dinner",4
Chic-A-Boo,10,casual,"Fast food, Chicken","Lunch, Dinner",3
4 Fingers,12,casual,"Fast food, Chicken","Lunch, Dinner",4
Wings Stop,15,casual,"Fast food, Chicken","Lunch,Dinner",4
Jinjja Chicken,14,casual,"Korean, Chicken, Fast food","Lunch, Dinner",3
Ela,30,"indulgent, comfort",Greek,"Lunch, Dinner",5
Elfuego,30,comfort,Western,"Lunch, Dinner",4
The Halia,40,"indulgent, comfort",Asian,"Lunch, Dinner",4
Afterwit Bar de Burrito,20,comfort,Mexican,"Lunch, Dinner",4
Wakuwaku Yakiniku,50,indulgent,"Japanese, BBQ",Dinner,5
Kohnangkam,20,comfort,Thai,"Lunch, Dinner",4
Monster Planet,15,casual,Japanese,"Lunch, Dinner",4
Royz et Vous,30,comfort,Western,"Lunch, Dinner",4
Suki Suki Thai Hot Pot Buffet,25,indulgent,"Thai, Buffet","Lunch, Dinner",3
Carousel,50,"indulgent, fancy","International, Buffet","Brunch, Lunch, Dinner",5
Fika Swedish Café & Bistro,20,comfort,Swedish,"Lunch, Dinner",4
The Ramen stall,15,casual,Japanese,"Lunch, Dinner",5
Badoque,20,comfort,Western,Dinner,4
Flavour Flings,20,comfort,Western,"Brunch, Lunch, Dinner",4
Afterglow by Anglow,25,healthy,Vegetarian,"Lunch, Dinner",4
Elemen,15,healthy,"Vegetarian, Asian","Lunch, Dinner",3
The Boneless Kitchen,15,healthy,"Vegetarian, Korean","Lunch, Dinner",4
Greendot,10,"healthy, casual","Vegetarian, Chinese","Lunch, Dinner",3
Lucky Cat Vegetarian/Vegan Café,10,"healthy, casual","Vegetarian, Japanese","Lunch, Dinner",5
Original Sin,30,healthy,"Vegetarian, Mediterranean","Lunch, Dinner",4
VeganBurg,15,"healthy, comfort","Vegetarian, Burger","Lunch, Dinner",4
Pano Kato,25,healthy,Greek,"Lunch, Dinner",4
Smoocht,20,"healthy, comfort",Vegetarian,"Lunch, Dinner",5
Genius Central,20,healthy,"Vegetarian, International","Brunch, Lunch, Dinner",4
Potato Head,20,comfort,Burger,"Lunch, Dinner",4
Two Blur Guys,20,comfort,Burger,"Lunch, Dinner",4
Ashes Burnit,10,"comfort, casual",Burger,"Lunch, Dinner",4
Wildfire Burger,15,comfort,Burger,"Lunch, Dinner",4
25 Degrees Burgers,18,comfort,Burger,"Lunch, Dinner",4
Meatsmith,30,"indulgent, comfort","Steak, Western","Lunch, Dinner",5
Hans Im Gluck,20,comfort,"Burger, German","Lunch, Dinner",4
Five Guys,25,"comfort, casual","Fast food, Burger","Lunch, Dinner",4
Shake Shack,20,"comfort, casual","Fast food, Burger","Lunch, Dinner",4
Skirt and Dirt,10,"comfort, casual",Burger,"Lunch, Dinner",5
Burger Labo,25,comfort,Burger,"Lunch, Dinner",4
Pizzaface,25,comfort,Italian,"Lunch, Dinner",5
Chooby Pizza,20,comfort,Italian,"Lunch, Dinner",5
Yellow Cab Pizza,25,comfort,Italian,"Lunch, Dinner",4
Peproni Pizzeria,20,"comfort, casual",Italian,"Lunch, Dinner",4
Publico Ristorante,25,comfort,Italian,"Lunch, Dinner",4
Blue Label Pizza & Wine,35,comfort,Italian,"Lunch, Dinner",4
IO Italian Osteria,23,comfort,Italian,"Lunch, Dinner",5
Tipo Pasta Bar,25,comfort,Italian,"Lunch, Dinner",4
Pasta Fresca Da Salvatore,20,comfort,Italian,"Lunch, Dinner",4
Pasta Bar,30,comfort,Italian,"Lunch, Dinner",4
Caffe Fernet,30,"comfort, fancy",Italian,"Lunch, Dinner",4
LINO,30,"comfort, fancy",Italian,"Lunch, Dinner",5
Eleven Strands,20,comfort,Italian,"Lunch, Dinner",4
La Mensa,15,"comfort, casual",Italian,"Lunch, Dinner",4
Brunches Café,20,comfort,Café,"Brunch, Lunch, Dinner",5
Symmetry,30,comfort,Café,"Brunch, Lunch, Dinner",4
SYIP,20,comfort,Café,"Brunch, Lunch, Dinner",4
Coexist Coffee,20,comfort,Café,"Brunch, Lunch",4
Joji's Diner,15,"comfort, casual",Western,"Brunch, Lunch, Dinner",4
Lucid,10,comfort,"Café, Pastry","Brunch, Snack",4
Equate,15,comfort,"Café, Pastry","Brunch, Snack",4
Group Therapy Coffee,15,comfort,Café,"Brunch, Lunch, Dinner",4
Tolido's Espresso Nook,20,comfort,Café,"Brunch, Lunch",4
The Populus,20,comfort,Café,"Brunch, Lunch",4
P.S. Cafe,30,"comfort, fancy",Café,"Brunch, Lunch, Dinner",4
Wildseed Café & Bar at The Summerhouse4,25,comfort,Café,"Brunch, Lunch",4
Common Man Stan,30,comfort,Café,"Brunch, Lunch, Dinner",4
Bearded Bella,15,comfort,Café,"Brunch, Lunch, Dinner",4
Lad & Dad,20,comfort,Café,"Lunch, Dinner",5
The Garden Slug,15,comfort,Café,"Lunch, Dinner",5
Oriole Coffee + Bar,20,comfort,Café,"Brunch, Lunch, Dinner",4
The Fabulous Baker Boy,15,comfort,Café,"Brunch, Lunch, Dinner",4
Wild Honey,25,comfort,Café,"Brunch, Lunch",4
Dumpling Darlings,20,comfort,Chinese,"Lunch, Dinner",4
Suzuki Gourmet Coffee,10,comfort,"Café, Japanese",Snack,5
Sarnies,20,comfort,Café,"Brunch, Lunch, Dinner",4
